"Country","Mean years of schooling","Share of seats in parliament","Women with account at financial institution or with mobile money-service provider","Homicide rate","Gender Inequality Index","HDI Group","Prevalence of violence in the lifetime","Attitudes toward violence","Laws on domestic violence","Social Institutions and Gender Index"
"Pakistan",5.158944258,20,7.025063992,3.88308273,0.538,"Medium human development",85,42.2,0.5,58.7
"Guinea",2.774225,22.80701754,19.67097473,NA,NA,"Low human development",80,92.1,0.8,56.7
"Senegal",3.183085,41.81818182,38.44960785,0.267518152,0.533,"Low human development",78,56.5,0.5,37
"Benin",3.826328,7.228915663,28.58588791,1.127497407,0.612,"Low human development",68.6,36,0.5,39.8
"Yemen",3.2,0.970873786,1.671490073,6.772149422,0.795,"Low human development",67,48.7,0.8,64
"Iran",10.34749,5.882352941,91.61125946,2.499168375,0.459,"High human development",66,21,0.8,58.3
"Bolivia (Plurinational State of)",9.017540839,51.80722892,53.85283279,6.218374444,0.417,"High human development",64.1,16.1,0.3,21.4
"Fiji",10.90163,19.60784314,NA,2.308277367,0.37,"High human development",64.1,42.6,0.8,NA
"Lesotho",6.53928325,23.02631579,46.46006012,43.56460456,0.553,"Low human development",62,37.1,0.8,38.1
"Afghanistan",3.93,27.24358974,7.160684586,6.655561152,0.655,"Low human development",60.8,80.2,0.8,52.8
"Timor-Leste",4.794383,38.46153846,NA,4.095983095,NA,"Medium human development",58.8,86.2,0.5,NA
"Equatorial Guinea",5.910863,19.18604651,NA,NA,NA,"Medium human development",56.9,52.6,1,NA
"Bangladesh",6.219339024,20.63037249,35.83634567,2.373328796,0.537,"Medium human development",53.3,28.3,0.8,54.8
"Cameroon",6.310862,29.28571429,30.0303688,1.388093415,0.56,"Medium human development",51.1,36.1,0.8,51.8
"Congo (Democratic Republic of the)",6.76008,11.98686371,24.21882248,NA,0.617,"Low human development",50.7,74.8,0.8,39.5
"Uganda",6.171951533,34.8583878,52.70641327,10.52446028,0.535,"Low human development",49.9,58.3,0.8,45.1
"Gabon",8.698,17.94871795,53.70412445,NA,0.525,"High human development",48.6,50.2,0.8,40.1
"Burundi",3.287982742,38.75,6.726228237,6.054537366,0.504,"Low human development",46.7,72.9,0.5,NA
"Moldova",11.70817,25.74257426,44.55144882,4.096792902,0.204,"High human development",45.5,11.2,0.3,21.4
"Sierra Leone",3.7,12.32876712,15.35897541,1.728967838,0.644,"Low human development",45.3,62.8,0.5,47.6
"Thailand",7.9391,14.13333333,79.78010559,2.582003648,0.359,"High human development",44.2,8.6,0.8,35.5
"Zambia",7.152016,17.96407186,40.27887726,5.371749635,0.539,"Medium human development",42.7,46.9,0.5,34.8
"Tanzania",6.122,36.8956743,42.15222168,6.48265759,0.556,"Low human development",41.7,58,0.8,46.1
"Kenya",6.564,23.26139089,77.74636841,4.928728024,0.518,"Medium human development",39.4,41.8,0.5,35.5
"Liberia",4.806,11.65048544,28.16200256,NA,0.65,"Low human development",38.5,42.5,0.8,47.5
"Turkey",8.10682,17.44966443,54.29382324,2.590475672,0.306,"Very high human development",38,13.3,0.3,25.1
"Ecuador",8.907169486,37.95620438,42.6063385,5.800627346,0.384,"High human development",37.5,25.2,0.5,28.9
"Malawi",4.73,22.91666667,29.84548759,NA,0.565,"Low human development",37.5,16.3,0.5,41.4
"Colombia",8.46873,19.56521739,42.47443008,25.3438026,0.428,"High human development",37.4,11.1,0.3,15
"Costa Rica",8.74194,45.61403509,60.87906265,11.2612545,0.288,"Very high human development",36,3.5,0.8,27.9
"United States",13.41344,23.72881356,92.68624878,4.956950548,0.204,"Very high human development",35.6,11,0.5,17.9
"Zimbabwe",8.4668,34.57142857,51.66492462,NA,0.527,"Medium human development",35.4,38.7,0.5,32.4
"New Zealand",12.78207732,40.83333333,99.34078217,0.744359509,0.123,"Very high human development",35,7.7,0.8,16.7
"Angola",5.173993233,30,22.33164597,NA,0.536,"Medium human development",34.8,25.2,0.8,NA
"Mali",2.352954412,9.523809524,25.71192169,NA,0.671,"Low human development",34.6,72.6,0.8,46
"Rwanda",4.417150539,55.66037736,44.96050262,2.577168608,0.402,"Low human development",34.4,41.4,0.5,27.6
"Viet Nam",8.32,26.72064777,30.41970062,NA,0.296,"High human development",34.4,28.2,0.8,25.3
"Brazil",7.9813,14.98316498,67.51464844,27.38253029,0.408,"High human development",33.5,8.5,0.3,21.2
"Peru",9.69633,30,34.435215,7.909223863,0.395,"High human development",33.2,32.2,0.8,24.5
"Myanmar",5.034490583,11.56773212,25.97871208,2.258451326,0.478,"Medium human development",33,51.2,0.8,42.4
"Denmark",12.61380326,39.10614525,100,1.008321959,0.038,"Very high human development",32,0,0.5,10.4
"Latvia",13.03085,30,92.54244232,4.355804966,0.176,"Very high human development",32,2,0.8,17.8
"Mongolia",10.2512725,17.33333333,94.95379639,6.182547929,0.322,"High human development",31.2,10.1,0.3,20
"Trinidad and Tobago",11.034,32.87671233,73.6030426,30.64950684,0.323,"High human development",30.2,9.9,0.8,23.5
"Finland",12.82413,47,99.58627319,1.629671612,0.047,"Very high human development",30,11.2,0.8,15.3
"Madagascar",6.1,16.90140845,16.31496811,NA,NA,"Low human development",30,45.2,0.5,47.5
"Morocco",5.648,18.44660194,16.80644608,1.415522885,0.454,"Medium human development",30,22,0.8,50.8
"Central African Republic",4.282,8.571428571,9.717617035,20.12040065,0.68,"Low human development",29.8,79.6,0.3,43.4
"United Kingdom",13.24287,28.90896456,96.07344055,1.204914777,0.118,"Very high human development",29,10.2,0.8,17.5
"India",6.5,13.48600509,76.63963318,3.079232442,0.488,"Medium human development",28.7,22.1,0.5,34
"Chad",2.52368,14.88095238,14.85025883,NA,0.71,"Low human development",28.6,73.5,0.8,45.4
"Ethiopia",2.883189,37.28571429,29.07543182,NA,0.517,"Low human development",28,63,0.5,29.6
"Sweden",12.54847,47.27793696,100,1.083072677,0.039,"Very high human development",28,10.2,0.3,10.5
"North Macedonia",9.812715,39.16666667,72.88609314,1.200216807,0.143,"High human development",27.7,14.5,0.8,18
"Norway",12.89775,40.82840237,100,0.468343712,0.045,"Very high human development",27,9.9,0.3,14.5
"Bhutan",4.0738,15.27777778,27.68187904,1.193007386,0.421,"Medium human development",26.5,68.4,0.5,NA
